"","Year","delta_Total","delta_Gas","delta_Liquids","delta_Solids","delta_CementProduction","delta_GasFlaring","delta_PerCapita"
"222",1973,7933.33333333333,7933.33333333333,7933.33333333333,7933.33333333333,7933.33333333333,7933.33333333333,7933.33333333333
"223",1974,300,300,300,300,300,300,300
"224",1975,-900,-900,-900,-900,-900,-900,-900
"225",1976,8933.33333333333,8933.33333333333,8933.33333333333,8933.33333333333,8933.33333333333,8933.33333333333,8933.33333333333
"226",1977,5066.66666666667,5066.66666666667,5066.66666666667,5066.66666666667,5066.66666666667,5066.66666666667,5066.66666666667
"227",1978,1933.33333333333,1933.33333333333,1933.33333333333,1933.33333333333,1933.33333333333,1933.33333333333,1933.33333333333
"228",1979,9433.33333333333,9433.33333333333,9433.33333333333,9433.33333333333,9433.33333333333,9433.33333333333,9433.33333333333
"229",1980,-1866.66666666667,-1866.66666666667,-1866.66666666667,-1866.66666666667,-1866.66666666667,-1866.66666666667,-1866.66666666667
"230",1981,-5433.33333333333,-5433.33333333333,-5433.33333333333,-5433.33333333333,-5433.33333333333,-5433.33333333333,-5433.33333333333
"231",1982,-1466.66666666667,-1466.66666666667,-1466.66666666667,-1466.66666666667,-1466.66666666667,-1466.66666666667,-1466.66666666667
"232",1983,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333,-633.333333333333
"233",1984,6100,6100,6100,6100,6100,6100,6100
"234",1985,5300,5300,5300,5300,5300,5300,5300
"235",1986,5533.33333333333,5533.33333333333,5533.33333333333,5533.33333333333,5533.33333333333,5533.33333333333,5533.33333333333
"236",1987,4733.33333333333,4733.33333333333,4733.33333333333,4733.33333333333,4733.33333333333,4733.33333333333,4733.33333333333
"237",1988,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333,7033.33333333333
"238",1989,4333.33333333333,4333.33333333333,4333.33333333333,4333.33333333333,4333.33333333333,4333.33333333333,4333.33333333333
"239",1990,1000,1000,1000,1000,1000,1000,1000
"240",1991,2500,2500,2500,2500,2500,2500,2500
"241",1992,-2033.33333333333,-2033.33333333333,-2033.33333333333,-2033.33333333333,-2033.33333333333,-2033.33333333333,-2033.33333333333
"242",1993,-200,-200,-200,-200,-200,-200,-200
"243",1994,3466.66666666667,3466.66666666667,3466.66666666667,3466.66666666667,3466.66666666667,3466.66666666667,3466.66666666667
"244",1995,4533.33333333333,4533.33333333333,4533.33333333333,4533.33333333333,4533.33333333333,4533.33333333333,4533.33333333333
"245",1996,4900,4900,4900,4900,4900,4900,4900
"246",1997,3266.66666666667,3266.66666666667,3266.66666666667,3266.66666666667,3266.66666666667,3266.66666666667,3266.66666666667
"247",1998,-600,-600,-600,-600,-600,-600,-600
"248",1999,-400,-400,-400,-400,-400,-400,-400
"249",2000,5600,5600,5600,5600,5600,5600,5600
"250",2001,5300,5300,5300,5300,5300,5300,5300
"251",2002,2000,2000,2000,2000,2000,2000,2000
"252",2003,14033.3333333333,14033.3333333333,14033.3333333333,14033.3333333333,14033.3333333333,14033.3333333333,14033.3333333333
"253",2004,12266.6666666667,12266.6666666667,12266.6666666667,12266.6666666667,12266.6666666667,12266.6666666667,12266.6666666667
"254",2005,9666.66666666667,9666.66666666667,9666.66666666667,9666.66666666667,9666.66666666667,9666.66666666667,9666.66666666667
"255",2006,9400,9400,9400,9400,9400,9400,9400
"256",2007,6033.33333333333,6033.33333333333,6033.33333333333,6033.33333333333,6033.33333333333,6033.33333333333,6033.33333333333
"257",2008,8333.33333333333,8333.33333333333,8333.33333333333,8333.33333333333,8333.33333333333,8333.33333333333,8333.33333333333
"258",2009,-3233.33333333333,-3233.33333333333,-3233.33333333333,-3233.33333333333,-3233.33333333333,-3233.33333333333,-3233.33333333333
"259",2010,16533.3333333333,16533.3333333333,16533.3333333333,16533.3333333333,16533.3333333333,16533.3333333333,16533.3333333333
"260",2011,12366.6666666667,12366.6666666667,12366.6666666667,12366.6666666667,12366.6666666667,12366.6666666667,12366.6666666667
"261",2012,5433.33333333333,5433.33333333333,5433.33333333333,5433.33333333333,5433.33333333333,5433.33333333333,5433.33333333333
"262",2013,3500,3500,3500,3500,3500,3500,3500
